code,label,long,lat
330000217,MAISON DE SANTE MARIE GALENE,-0.570026448990276,44.8284654102789
330000332,HOPITAL SUBURBAIN DU BOUSCAT,-0.617864221255729,44.8672714490391
330000340,M.S.P.BX. BAGATELLE,-0.576082683678513,44.8080813904576
330000555,CENTRE HOSPITALIER D'ARCACHON,-1.14548207841676,44.6328145532618
330000571,CH DE LA HAUTE GIRONDE,-0.659072550531209,45.1347100816262
330000589,CH SUD GIRONDE - SITE LANGON,-0.245529095981662,44.5452645968634
330000597,CH SUD GIRONDE - SITE LA REOLE,-0.0391181484302785,44.5845464243291
330000605,CTRE HOSPIT.R.BOULIN-LIBOURNE,-0.230023260605214,44.9198670841986
330000613,CENTRE HOSPITALIER STE FOY LA GRANDE,0.221525046183695,44.8426587357702
330000639,CH CHARLES PERRENS,-0.600066745667691,44.823716063462
330000647,C.H. DE CADILLAC,-0.31800183424781,44.6350572415373
330000662,INSTITUT BERGONIE,-0.5797918604271,44.8235731116591
330005182,EHPAD - USLD CENTRE DE SOINS PODENSAC,-0.358694365621032,44.6527886877632
330007410,ANTENNE AUTODIALYSE CADDD,-0.634430599573297,44.7759756757974
330007436,ANTENNE AUTODIALYSE PBNA - BORDEAUX,-0.578882585963813,44.8601754763285
330007451,SESSAD DE FRONTENAC,-0.163520770932299,44.7382747882113
330007477,SESSAD LES TOURNESOLS,-0.511649136236302,44.8526167221698
330007485,ESAT METROPOLE -SITE DE BEGLES,-0.561139927813611,44.792363654236
330007493,UNITE D'HEBERGEMENT,-0.0328288893205368,44.581405768737
330007527,SSIAD DE LA HAUTE GIRONDE,-0.450254914317169,45.1355348525331
330007535,CHRS JONAS,-0.567250677807191,44.8293874957529
330007543,EHPAD  MARYSE BASTIE,-0.578867475512567,44.8617666922674
330007550,ANTENNE AUTODIALYSE AURAD BORDEAUX,-0.589364329049432,44.8389085944095
330007584,ANTENNE AUTODIALYSE AURAD ARTIGUES,-0.491003957629939,44.8649201579556
330007634,ANTENNE AUTODIALYSE AURAD LA TESTE,-1.14548207841676,44.6328145532618
330007642,ANTENNE AUTODIALYSE AURAD PINEUILH,0.240928930039839,44.8397295524777
330007667,ANTENNE AUTODIALYSE AURAD LANGON,-0.245529095981662,44.5452645968634
330007683,ANTENNE AUTODIALYSE AURAD LIBOURNE,-0.229589663788119,44.8973439797135
330007725,ANTENNE AUTODIALYSE AURAD GRADIGNAN,-0.602377703731392,44.7898762447372
330007774,EFS AQUITAINE-LIMOUSIN BDX ST ANDRE,-0.578280568290156,44.833959266397
330007782,EFS AQUITAINE-LIMOUSIN HAUT LEVEQUE,-0.662950612910947,44.7788370290584
330007956,C.A.I.O.,-0.56258144770592,44.8311886880533
330007964,CHRS - FRANCE HORIZON,-0.632817061740514,44.8059624767366
330007972,R P A   L'OREE DU PARC,-0.652732586649863,44.7630307762936
330007980,EHPAD - USLD CH SAINT-NICOLAS BLAYE,-0.657859523788957,45.1355746464605
330008004,SESSAD PIERRE BARRAU,-0.101411617260063,45.036289748477
330008012,ANTENNE AUTODIALYSE PBNA - BLAYE,-0.659072550531209,45.1347100816262
330008020,SESSAD RIVE GAUCHE,-0.598330864595294,44.8443545986116
330008046,CSAPA GENERALISTE RESIDENTIEL - CEID,-0.553985096280185,44.8020661855594
330008087,HOPITAL DE JOUR ADULTES LA MARGERIDE,-0.0506337833065472,44.8551806820357
330008095,HOPITAL DE JOUR ADULTES CLE DES CHAMPS,-0.242365201315637,44.9362970828824
330008103,HOPITAL DE JOUR ADULTES LE MAGNOLIA,-0.445847375830142,44.9975944765661
330008129,SESSAD OREAG RIVE GAUCHE,-0.582581945786934,44.822049099921
330008269,SERVICE D'AIDE À DOMICILE,-0.426588612214509,44.9167748952217
330008848,CENTRE DE SANTE DENTAIRE MUTUALISTE,-0.591517681857532,44.8242150276514
330008988,CENTRE OCCUPATIONNEL DE JOUR,-0.53999665079356,44.8427349003121
330009598,SESSAD MILLEFLEURS,-0.555725548961139,44.8124646865435
330009788,RESIDENCE POYENNE  - ADOMA,-0.565722236870008,44.8561163742949
330009879,SSIAD VIE SANTE MERIGNAC,-0.640825192142047,44.8404874679548
330010018,APPT DE COORDINATION THERAPEUTIQUE,-0.553595356775324,44.8142759825551
330011248,SERV. A DOM DES RESIDANTS DES JARDINS,-0.584551797507868,44.8458282019888
330011339,SERVICE DU MULTI ACCUEIL,-0.37316792173632,44.457889780946
330011438,SERVICE AIDE PERSONNES AGEES,0.222671463685097,44.8430595081869
330011578,CATTP ESCAPA - RENOVATION,-0.595554039480979,44.8512194777784
330011669,ÉCOLE D'AIDES SOIGNANTS LA MORLETTE,-0.519200664094535,44.8564825224657
330012048,EHPAD DOUCEUR DE FRANCE,-0.601045573391488,44.7869030518669
330012139,SAD,-0.544811146654142,44.8188533865596
330012238,EHPAD LES JARDINS D'ALIENOR,-0.609149461577256,44.8732964159571
330012279,SESSAD DU CENTRE AUDITION ET LANGUAGE,-0.648464226909216,44.8170813992828
330012378,R P A   HENRI MOREAU,-0.240377567022378,44.9147742944656
330012568,CADA D'EYSINES  ADOMA,-0.638020648217906,44.8625205224926
330012758,LA FERMETTE MARILLLAC,-0.488842605948945,45.1444437186711
330012899,LIEU DE VIE MARCHANDON,-0.0602118113223226,44.8299283696637
330012998,LIEU DE VIE INTERLIGNE,-0.35463710039258,44.4863321234085
330013178,LIEU DE VIE LA VERRIERE,0.0156383256335893,45.0804341648604
330013368,LIEU DE VIE LA PINEDE,-1.14716732688186,45.3846610980592
330013558,LIEU DE VIE LE CLOS DE VELLA,-0.0649962702695146,44.9815420034377
330013699,LIEU DE VIE TANDEM,-0.23601556060977,44.90529025834
330013798,LIEU DE VIE SABACA,-0.0507617366070679,44.5764414558099
330013988,EMMAUS ERMITAGE,-0.548690269681049,44.7375625183949
330014499,SSIAD ANFASIAD,-0.271810981510959,44.9904564962289
330014648,MARPA CANTELANNE,-0.259598222153686,44.2914054200131
330014689,SESSAD EST GIRONDE,-0.0454132823587542,44.8530959043042
330014739,SESSAD MACANAN,-0.514799622751749,44.8610263478677
330014978,CTRE ENFANTS ADOLESCENTS POLYHANDICAP.,-0.0391181484302785,44.5845464243291
330015058,ESAT DE BASSENS,-0.526291751638201,44.891825668867
330015678,EHPAD BOSSEGE,-0.83204908600849,45.1504257588798
330015728,EHPAD JACQUELINE AURIOL,0.0041627788694366,45.0169410755768
330015918,REALITES & PROJETS,-0.503147641604207,44.853040521703
330015959,CENTRE DE RESSOURCES SUR L'AUTISME,-0.600066745667691,44.823716063462
330016189,SERVICE INSERTION  MILIEU ORDINAIRE,-0.102276101329594,45.0379686972894
330016239,SSIAD DE MONSEGUR,0.0831929855020876,44.6515065140634
330016338,EA SYNERGY,-0.674478427358588,44.7789699124318
330016379,EA HAUT MEXANT,-0.202613321941458,44.995057766197
330016478,HOTRAVAIL SUD-BASSIN,-1.12320661241933,44.6148628623395
330016528,HOTRAVAIL NORD-BASSIN,-1.07404412654158,44.7652796189072
330016569,EA  LA PAILLERIE,-0.626879870043481,45.2439451695336
330016668,HANDICALL CENTER  ENTREPRISE ADAP.,-0.562836074118305,44.8884569992097
330016759,MAISON FAMILIALE RURALE DU LIBOURNAIS,-0.0636309860128256,45.0830642765755
330016858,IUT BORDEAUX MONTESQUIEU,-0.556242289132456,44.8431236573375
330016908,GRETA DE BORDEAUX SITE BASSIN ARCACHON,-0.590046240571805,44.8445212176286
330016999,GRETA PAUILLAC,-0.750521385612184,45.18983366961
330017088,CREPS AQUITAINE,-0.602684475355855,44.8005236165463
330017179,EHPAD SIMONE DE BEAUVOIR,-0.704636250461564,44.8947073960522
